z,mu,sigma
0.9310076977815963,43.975020983257224,0.1665503848890798
0.5322653433049422,42.29168880476774,0.1466132671652471
1.031731524694545,44.11922631371956,0.17158657623472726
0.839867954580643,43.843003449244264,0.16199339772903215
0.12207104398630293,38.73498590857126,0.12610355219931516
1.1709905984477396,44.65595923070595,0.17854952992238698
0.91575624536852,43.70937622763311,0.16578781226842598
0.945416523279575,43.91525989358658,0.16727082616397876
0.1624552228838996,39.334232938391644,0.12812276114419496
0.5459592660957249,42.44101424707894,0.14729796330478623
0.45124964883677166,42.114672439496644,0.14256248244183858
1.1128503367298361,44.08404204913302,0.1756425168364918
0.7761994928959908,43.490953529895606,0.15880997464479954
0.9890863197922877,44.1110673119373,0.16945431598961438
0.537662896604524,42.3635775698606,0.1468831448302262
0.2804140789238845,40.59301262598456,0.13402070394619423
0.6699558965488434,43.041562384052185,0.15349779482744216
0.08594253476396863,37.899755802828054,0.12429712673819843
0.9948810946711726,44.12595735670865,0.16974405473355864
0.7616806349552572,43.375066978729684,0.15808403174776287
0.9121244107015948,44.118772459161306,0.16560622053507973
0.43188590207454336,41.8477289218822,0.14159429510372717
1.165130649029935,44.32834987857812,0.17825653245149675
1.0728141343734152,44.320122681307566,0.17364070671867077
0.9362763615177766,43.9602685263233,0.16681381807588883
0.24162006234384142,40.59764789219452,0.13208100311719206
0.5653979944351707,42.70654985863626,0.14826989972175852
0.062126481286802246,37.26885925978779,0.1231063240643401
0.19360449556038192,40.06732409150038,0.1296802247780191
0.822828254358521,43.38617677859016,0.16114141271792604
0.8962669655303024,43.70107362330627,0.16481334827651511
1.1613365815967098,44.33703784617474,0.17806682907983548
0.3977321761844008,41.61536490954299,0.13988660880922005
0.45084705018149396,41.79633142025189,0.1425423525090747
0.5687714154182114,42.69263342878815,0.14843857077091058
0.23547091731029998,40.32545839172752,0.13177354586551498
0.16460659134921127,39.29878534102735,0.12823032956746055
0.5760888622088611,42.480824659802394,0.14880444311044305
0.2800221253705521,40.82534139255244,0.1340011062685276
0.8070786536721873,43.660493803100096,0.16035393268360937
0.5302107834580736,42.70686966630991,0.1465105391729037
1.0008870533088265,44.59810446115463,0.17004435266544132
0.8433154713826764,43.710696327649806,0.1621657735691338
0.38171630324462885,41.42713262787845,0.13908581516223145
1.000389163660289,43.738793516259086,0.17001945818301445
0.9676695854211942,44.05711320716914,0.1683834792710597
0.4710992710459076,41.989688450566206,0.14355496355229538
0.35311044367699046,41.30926933975084,0.13765552218384952
0.8221696497302208,43.47698160133362,0.16110848248651105
0.17630545549507867,39.633788228822574,0.12881527277475394
0.2478907609453789,40.622381107607005,0.13239453804726894
0.01876110100369656,34.57503752482745,0.12093805505018482
0.9464400092275447,43.925982500358145,0.16732200046137724
0.8011725193445182,43.34071524986432,0.16005862596722592
0.8491468005653388,43.38986219848814,0.16245734002826695
0.9390675469161418,43.8503617864397,0.1669533773458071
0.5561097728906246,42.53130220653665,0.14780548864453122
0.6868020231839436,43.36922141295539,0.15434010115919716
0.17635842777191235,39.66942764573374,0.1288179213885956
0.1462907875078084,39.33166893080272,0.12731453937539042
0.8053995245306612,43.440511995639255,0.16026997622653305
0.5706044853103277,42.43080625649402,0.14853022426551638
0.6826309667126147,42.93143969466209,0.15413154833563072
0.9203486403250704,43.75716717115055,0.16601743201625352
0.765314800800703,43.7211654579581,0.15826574004003516
0.668759486783015,42.89972103573196,0.15343797433915074
0.6754565212870421,43.181106646333596,0.1537728260643521
0.3717006166945085,41.371800665741986,0.13858503083472543
0.046673223135847895,36.693826084317514,0.1223336611567924
0.5296936931865112,42.46816507990578,0.14648468465932557
0.26535576065523975,40.628752240260084,0.13326778803276199
0.496149086032317,42.23514520327232,0.14480745430161585
1.0255496571891176,44.05582488558651,0.17127748285945588
0.2883879881797555,40.9167019943861,0.13441939940898778
0.07938026260998855,37.72689435989942,0.12396901313049942
0.3448468315061759,41.138195770689514,0.1372423415753088
0.3593765717423535,41.23480502598062,0.13796882858711768
0.7976806525250051,43.522411063073925,0.15988403262625026
0.6728682612861212,43.284606888372636,0.15364341306430607
0.942838868836632,43.969042542575984,0.1671419434418316
0.8005331129895912,43.485363200752744,0.16002665564947954
0.49360036511368394,42.2689930657031,0.1446800182556842
0.9786842577525812,44.263035184058396,0.16893421288762905
0.20869777469016765,40.08830011375825,0.13043488873450837
0.03702736702929397,36.01179987301206,0.12185136835146469
0.11715695432301368,38.82296342480843,0.1258578477161507
0.8696076272097758,43.79573949219825,0.16348038136048879
0.5596339039991509,42.78309080256182,0.14798169519995755
0.20191341704998614,40.003217952039385,0.1300956708524993
0.6062432823730026,42.582227402201426,0.15031216411865012
0.19125140222867043,39.67073165604706,0.12956257011143352
0.8386212463425059,43.89590074999432,0.16193106231712528
0.5409259679330966,42.72014932284709,0.14704629839665484
0.4634152590548141,42.0380466770478,0.1431707629527407
0.36879938608597307,41.42392152509555,0.13843996930429864
0.7600362858114772,43.596762766740994,0.15800181429057386
0.4405570065585346,41.775674566196585,0.14202785032792672
0.11430340398616018,38.51363886605681,0.125715170199308
0.15042702352341322,39.35476330803961,0.12752135117617067
1.1546582208139222,44.41639845553936,0.1777329110406961
