# H0 Om w
7.333923229961784784e+01 2.931316179417398637e-01 -1.248722167733393729e+00
7.333923229961784784e+01 2.931316179417398637e-01 -1.248722167733393729e+00
7.333923229961784784e+01 2.931316179417398637e-01 -1.248722167733393729e+00
7.200641342081752327e+01 3.353139583794285117e-01 -1.198814532898353713e+00
7.200641342081752327e+01 3.353139583794285117e-01 -1.198814532898353713e+00
7.200641342081752327e+01 3.353139583794285117e-01 -1.198814532898353713e+00
7.200641342081752327e+01 3.353139583794285117e-01 -1.198814532898353713e+00
7.072489059102785802e+01 3.216657982360696666e-01 -1.282566599373635707e+00
7.072489059102785802e+01 3.216657982360696666e-01 -1.282566599373635707e+00
7.097882225923181920e+01 2.835878907236457636e-01 -1.180852574654753795e+00
7.097882225923181920e+01 2.835878907236457636e-01 -1.180852574654753795e+00
7.273078868543525743e+01 2.920704892630098248e-01 -1.276164831835030267e+00
7.273078868543525743e+01 2.920704892630098248e-01 -1.276164831835030267e+00
7.273078868543525743e+01 2.920704892630098248e-01 -1.276164831835030267e+00
7.273078868543525743e+01 2.920704892630098248e-01 -1.276164831835030267e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.204684592465586945e+01 3.402555723656450759e-01 -1.302091655057925790e+00
7.186928979491095504e+01 3.128165559253322514e-01 -1.185765698111985955e+00
7.186928979491095504e+01 3.128165559253322514e-01 -1.185765698111985955e+00
7.186928979491095504e+01 3.128165559253322514e-01 -1.185765698111985955e+00
7.186928979491095504e+01 3.128165559253322514e-01 -1.185765698111985955e+00
7.186928979491095504e+01 3.128165559253322514e-01 -1.185765698111985955e+00
7.186928979491095504e+01 3.128165559253322514e-01 -1.185765698111985955e+00
7.174339163355220705e+01 3.053321177183709323e-01 -1.212995334584396012e+00
7.174339163355220705e+01 3.053321177183709323e-01 -1.212995334584396012e+00
7.148709596842282110e+01 3.453019543623463972e-01 -1.213689638346541422e+00
7.148709596842282110e+01 3.453019543623463972e-01 -1.213689638346541422e+00
7.177606883832029894e+01 3.167622185690317504e-01 -1.298600669569891508e+00
7.256361641986136135e+01 2.463298513023371439e-01 -1.163426843559080215e+00
7.240586539738426097e+01 2.890008589673196404e-01 -1.157841852588548992e+00
7.240586539738426097e+01 2.890008589673196404e-01 -1.157841852588548992e+00
7.240586539738426097e+01 2.890008589673196404e-01 -1.157841852588548992e+00
7.106666962654087172e+01 2.870943938340411727e-01 -1.105145282137636631e+00
7.106666962654087172e+01 2.870943938340411727e-01 -1.105145282137636631e+00
7.106666962654087172e+01 2.870943938340411727e-01 -1.105145282137636631e+00
7.167831319081287234e+01 2.995178410970120719e-01 -1.193023019369023441e+00
7.167831319081287234e+01 2.995178410970120719e-01 -1.193023019369023441e+00
7.167831319081287234e+01 2.995178410970120719e-01 -1.193023019369023441e+00
7.167831319081287234e+01 2.995178410970120719e-01 -1.193023019369023441e+00
7.167831319081287234e+01 2.995178410970120719e-01 -1.193023019369023441e+00
7.060732083088730349e+01 3.209131162646904345e-01 -1.182652208303556662e+00
7.058183158935231916e+01 3.618359557113395852e-01 -1.256440426845801595e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.024568680434472867e+01 3.696046718199444414e-01 -1.250700464403758705e+00
7.009966925140422234e+01 3.504221564944949852e-01 -1.275506623982901377e+00
7.009966925140422234e+01 3.504221564944949852e-01 -1.275506623982901377e+00
