FeH,v_phi,label
-1.0003521019867188,104.40974575522668,0
-2.136491250466954,47.97707650053937,3
-1.1098229818550815,-9.950882536387809,1
-1.0469567437652538,97.67662358198504,0
-0.7747917148281833,118.46071077846442,0
-1.9008511712948353,19.267568231294582,1
-1.5496521238809895,189.4223617360509,2
-0.9935447807549083,86.7135844580917,0
-1.654498880775648,25.315639738194314,3
-0.41576659337595834,122.48388213553686,0
-1.228173777614543,184.9771198906918,2
-1.0120049270811857,176.21561297132868,2
-1.2775440199332122,3.3714795159847135,1
-2.239552752725771,-5.094691356727747,1
-1.0429152534930202,26.70727729088305,3
-1.816308274996597,5.433150009640297,1
-0.808950247734351,150.0467852061014,2
-1.2543603001860153,122.84691376654972,0
-1.4055258693333292,121.86841746301583,0
-1.2197344436244681,110.4094010872989,0
-2.3307748260736667,6.516507580807884,1
-0.7567251415532515,101.06986670211501,0
-1.329408835159832,29.501826252061015,3
-1.8482871870099364,76.673067422076,3
-0.3990227779089795,125.05548784384874,0
-0.9650843544673398,125.35778180360491,0
-1.3356985710219602,135.6605442248056,0
-1.8859584101213314,-21.07397040740107,1
-1.4858362730339645,161.32576816472084,2
-0.6298412186276622,136.11606210263244,0
-0.9457904372687368,105.35466578134749,0
-2.091618548192919,37.17710475030427,3
-2.3473893331419124,10.68669992687716,1
-2.2545747279679196,7.172547292961623,1
-0.7694284163189646,82.91572355018386,0
-1.105807980955749,173.6935623047532,2
-2.264715671594296,50.14040723239322,3
-0.976623482448108,133.00514931734935,0
-1.416563324386787,198.77290377753178,2
-0.5865877778007542,130.18167130651292,0
-1.4320165954573336,30.17327153825482,3
-0.533603927772142,100.7611080311383,0
-0.7809696362085008,130.9409936910212,0
-2.402046598530524,-10.954182328282442,1
-0.7050152826365105,138.5846378935383,0
-2.23978105165081,21.70080814658536,1
-1.6429418026595517,51.26736996893355,3
-1.008373234320207,101.86963745769697,0
-1.4595146742310212,30.36801923255856,3
-1.9448785925978183,11.29402110422244,1
-0.9095580926474713,58.01554889811819,3
-0.4537793352363154,125.19361943980017,0
-0.9287031862744497,124.0860936410237,0
-2.129450478363438,7.915905600923896,1
-1.9533333938799133,70.41338450338628,3
-1.7879021092735772,-24.286485745007766,1
-1.9111649208556372,21.314975179050105,1
-1.17639647639072,120.6980333330245,0
-2.3368487187123357,30.013201853082375,3
-2.201756331829249,51.036017818583474,3
-2.2990674793420434,3.9721026887848545,1
-0.3573864189623552,147.72056183113224,2
-1.8367851201578862,60.23162262047601,3
-1.1850027010395747,65.86133749570321,3
-1.4837573886985693,179.91087700690082,2
-0.8996395765105758,175.77516357894592,2
-1.6707166742836046,30.995016489377306,3
-0.5245537459921631,160.48039225037513,2
-1.5516733164929217,-61.097814298127986,1
-0.8472923148670233,103.01203523833742,0
-3.237986116081943,34.97493414063677,3
-0.6708707107071004,109.7898061102168,0
-1.1485786193691432,73.2461122253969,3
-1.7756288922893972,194.32057226664267,2
-1.0475451069434834,157.7832265663733,2
-1.6883079446928786,24.955026397522857,3
-1.5808939399736093,152.39391777251873,2
-1.333451426509517,110.88506937783943,0
-0.8840724995940573,43.917126149409384,3
-0.7287050107508272,129.44390330080836,0
-0.5979250560915659,126.26454017247822,0
-2.1969717346882387,8.917004375063394,1
-2.1766932309662996,58.211141451168295,3
-1.058463984322991,75.65345330074896,3
-1.6722181042363375,45.836916016070624,3
-1.774036531803388,6.585016534797223,1
-2.185380912109784,-23.727691286197476,1
-2.794744124144811,46.17115582403885,3
-2.187425518330136,15.816535027955766,1
-1.2023906411822045,151.74131833929616,2
-1.3245224113975396,123.00941636377962,0
-0.5114550513972994,98.15570443728927,0
-1.8185402946341354,177.14676645599275,2
-2.5595955322730255,-4.655506714926581,1
-2.3203572981450105,-10.232071504716977,1
-2.1257007532518846,-6.741057904241032,1
-2.471672353344011,6.367962172307102,1
-1.0829157627013541,192.7623471798865,2
-0.8719389526237975,127.2473801659283,0
-1.8924028386867882,29.70007278591641,3
-1.5494550435533176,-24.914503854668062,1
-0.9436631713652253,119.896906517476,0
-1.7513774153034127,13.270633310257509,1
-0.6240281813298131,121.60761440420305,0
-2.4791280655682355,-3.1256102448085166,1
-2.1421310776259563,81.14162812725569,3
-2.449193280592408,20.534106181564894,1
-1.0574868300051188,50.984068428726715,3
-1.9991856182556695,43.384822360736166,3
-0.9163849083143428,88.15263067881263,0
-2.3743242165107787,6.853717964303289,1
-0.8188120866877516,108.00882683126088,0
-2.372582431975606,13.151595360318558,1
-2.0033202324470807,64.49804176674579,3
-1.3622523036668868,112.48310059401126,0
-1.3033726982487974,72.20355110795163,3
-1.4154929762614046,24.85443284540344,3
-1.419367147831312,0.5061108058954176,1
-0.4332133304446313,130.68576898031824,0
-1.6664912635621936,8.421072529238828,1
-1.9355019496059884,52.6139587692795,3
-1.9237220175408356,31.9333018682207,3
-0.7566334144456754,102.34959599734204,0
-0.7455623371024415,102.5739558452748,0
-0.46358526333421873,114.18924577947978,0
-1.9065858916258867,17.915128847441686,1
-2.1048682231947713,-5.613059250390506,1
-2.5864493835474884,41.20630153491534,3
-1.8160453735888624,4.321375917219072,1
-1.9797316863066732,37.753826062416785,3
-1.5708190007390348,198.23374589657692,2
-1.814016913725569,9.468362456851553,1
